Elevation (metres);Meter från start;Lutning i grader
24,7;0;0,000
25;40;0,430
24,8;64;-0,477
24,8;88;0,000
25;104;0,716
25,1;114;0,573
24,4;123;-4,447
22,6;148;-4,118
21,8;159;-4,160
20,7;182;-2,738
20,2;206;-1,193
19,9;229;-0,747
18,1;297;-1,516
18;306;-0,637
17,8;327;-0,546
17,2;354;-1,273
16,7;382;-1,023
16,2;426;-0,651
16,2;464;0,000
15,9;498;-0,506
13,3;545;-3,166
11,7;591;-1,992
10,8;633;-1,228
10,4;667;-0,674
10,3;747;-0,072
10,2;765;-0,318
10,1;792;-0,212
9,8;823;-0,554
9,6;839;-0,716
9,3;856;-1,011
8,8;881;-1,146
8,7;917;-0,159
8,6;946;-0,198
8,7;975;0,198
9,2;1004;0,988
9,5;1030;0,661
9,5;1051;0,000
9,4;1064;-0,441
9,2;1085;-0,546
9,1;1100;-0,382
9,1;1121;0,000
9,1;1122;0,000
9,1;1134;0,000
9,1;1143;0,000
9;1162;-0,302
8,9;1184;-0,260
8,9;1185;0,000
8,6;1216;-0,554
8,5;1230;-0,409
8,7;1249;0,603
9,5;1284;1,309
10,2;1316;1,253
10,5;1326;1,718
12,9;1387;2,253
13,7;1414;1,697
13,9;1438;0,477
13,9;1457;0,000
14;1483;0,220
13,8;1504;-0,546
13,3;1516;-2,386
13;1522;-2,862
10,5;1580;-2,468
10,2;1587;-2,454
9,7;1602;-1,909
8,4;1698;-0,776
8,6;1795;0,118
9,3;1847;0,771
9,5;1854;1,637
10,8;1910;1,330
11,9;1966;1,125
11,7;2016;-0,229
12;2074;0,296
12,7;2121;0,853
12,6;2162;-0,140
12,6;2171;0,000
12,7;2184;0,441
12,9;2212;0,409
13;2303;0,063
14,8;2394;1,133
15,6;2421;1,697
15,1;2442;-1,364
13,2;2487;-2,418
12,6;2500;-2,643
10,8;2536;-2,862
9,9;2554;-2,862
7,6;2607;-2,485
6,6;2636;-1,975
5,8;2670;-1,348
5,3;2710;-0,716
5,3;2713;0,000
5;2734;-0,818
5,8;2761;1,697
6,4;2780;1,809
7,1;2808;1,432
7,5;2835;0,849
7,5;2837;0,000
9,3;2925;1,172
9,5;2935;1,146
9,8;2953;0,955
12,5;3031;1,983
14,4;3061;3,624
16,3;3091;3,624
17,9;3120;3,158
19,6;3148;3,474
22,4;3189;3,907
23,9;3281;0,934
23,8;3290;-0,637
23,8;3315;0,000
23,9;3346;0,185
23,9;3373;0,000
23,2;3429;-0,716
22,9;3491;-0,277
22,1;3572;-0,566
20;3652;-1,504
19,5;3716;-0,448
19,2;3770;-0,318
18,9;3824;-0,318
17,9;3865;-1,397
17,4;3888;-1,245
17,4;3934;0,000
17,5;3950;0,358
17,5;4002;0,000
16,8;4058;-0,716
16,1;4076;-2,227
14,7;4107;-2,586
13,9;4120;-3,521
13,1;4133;-3,521
12,2;4149;-3,219
12;4152;-3,814
10;4186;-3,366
9,8;4190;-2,862
9,5;4194;-4,289
8,6;4215;-2,454
6,5;4299;-1,432
6,5;4385;0,000
5,9;4469;-0,409
6;4508;0,147
6;4562;0,000
5,7;4617;-0,313
5,5;4704;-0,132
6,6;4790;0,733
7,8;4877;0,790
7,8;4879;0,000
8,1;4944;0,264
8,1;4958;0,000
9,1;5035;0,744
11,2;5113;1,542
13,2;5190;1,488
13,3;5268;0,073
14,1;5331;0,728
16,4;5395;2,058
18,1;5450;1,770
18,9;5481;1,478
19,1;5510;0,395
19,1;5571;0,000
18,2;5632;-0,845
18,7;5661;0,988
19,4;5690;1,383
19,9;5707;1,685
21,4;5767;1,432
22,5;5825;1,087
23;5861;0,796
23,7;5913;0,771
24,4;5965;0,771
24,4;5966;0,000
24,7;5983;1,011
25;6062;0,218
25;6140;0,000
25;6187;0,000
23,8;6284;-0,709
21,2;6382;-1,520
18,5;6479;-1,594
18,5;6480;0,000
17,6;6578;-0,526
18;6676;0,234
16,1;6774;-1,111
15,6;6868;-0,305
15,1;6963;-0,302
16;7057;0,549
17,1;7152;0,663
16,7;7247;-0,241
17;7341;0,183
19,3;7436;1,387
19,5;7458;0,521
20,4;7523;0,793
20,5;7538;0,382
21,3;7606;0,674
21,7;7628;1,042
22,7;7664;1,591
23,6;7692;1,841
24,6;7722;1,909
25,8;7763;1,676
26,4;7809;0,747
27,6;7860;1,348
28,3;7917;0,704
28,9;7961;0,781
28;8032;-0,726
26,1;8077;-2,418
22,4;8138;-3,471
22,2;8142;-2,862
22;8145;-3,814
21;8162;-3,366
17,9;8233;-2,500
17;8281;-1,074
16,7;8297;-1,074
16,3;8320;-0,996
13,7;8404;-1,773
11,9;8487;-1,242
12;8570;0,069
12,1;8606;0,159
13,2;8644;1,658
14;8664;2,291
15,3;8696;2,326
16,5;8735;1,762
16,8;8741;2,862
17,7;8764;2,241
18,9;8792;2,454
20,2;8814;3,382
21,5;8835;3,542
23,8;8872;3,557
25,4;8896;3,814
27,5;8930;3,534
29,2;8962;3,041
30,4;9011;1,403
31,3;9054;1,199
31,9;9090;0,955
32,4;9117;1,061
32,9;9139;1,302
33,6;9165;1,542
34,2;9196;1,109
35,4;9240;1,562
36,4;9273;1,736
36,8;9300;0,849
37,1;9341;0,419
36,8;9412;-0,242
36,6;9458;-0,249
36,5;9478;-0,286
36,4;9486;-0,716
36,4;9530;0,000
36,4;9536;0,000
36,6;9578;0,273
34,5;9668;-1,337
33;9758;-0,955
33,2;9782;0,477
33,2;9874;0,000
32;9925;-1,348
29,6;9990;-2,115
26,6;10054;-2,684
24,6;10084;-3,814
22,7;10116;-3,398
20,1;10163;-3,166
18,6;10198;-2,454
18,1;10210;-2,386
15,3;10302;-1,743
14,5;10356;-0,849
14,1;10410;-0,424
14,1;10423;0,000
14,2;10468;0,127
14,2;10529;0,000
12,9;10619;-0,828
12,7;10675;-0,205
13;10704;0,593
13,4;10732;0,818
13,7;10777;0,382
13,9;10807;0,382
14,6;10858;0,786
15,3;10910;0,771
15,8;10982;0,398
15,8;11009;0,000
16,2;11057;0,477
16,7;11092;0,818
17,4;11157;0,617
17,3;11216;-0,097
17,6;11256;0,430
18,5;11298;1,228
18,6;11303;1,146
18,8;11339;0,318
17,6;11383;-1,562
16,3;11423;-1,861
14,7;11468;-2,036
14,3;11482;-1,637
13,9;11502;-1,146
13,5;11527;-0,917
13,5;11557;0,000
13,5;11591;0,000
13,5;11630;0,000
13,5;11632;0,000
13,5;11647;0,000
13,5;11653;0,000
13,5;11673;0,000
13,6;11689;0,358
13,8;11712;0,498
14;11752;0,286
14;11771;0,000
14;11795;0,000
14,9;11855;0,859
16,2;11914;1,262
17;11971;0,804
17,7;12028;0,704
18,7;12081;1,081
19,4;12123;0,955
20;12173;0,688
20,7;12246;0,549
21,2;12310;0,448
21,7;12373;0,455
21,9;12423;0,229
22,5;12474;0,674
24;12549;1,146
26,1;12625;1,583
29;12715;1,846
29,4;12806;0,252
28,6;12892;-0,533
27,5;12979;-0,724
22,5;13065;-3,327
19,1;13145;-2,434
17,1;13225;-1,432
16,7;13306;-0,283
15,6;13364;-1,087
14,7;13423;-0,874
14;13486;-0,637
14,3;13548;0,277
15,1;13599;0,899
15,5;13650;0,449
15,4;13720;-0,082
13,9;13789;-1,245
13,2;13878;-0,451
13,5;13967;0,193
13,1;14055;-0,260
13,3;14144;0,129
13,6;14178;0,506
13,8;14267;0,129
13,9;14293;0,220
14,3;14345;0,441
14,4;14353;0,716
14,6;14371;0,637
14,6;14379;0,000
14,8;14452;0,157
14,1;14524;-0,557
15;14597;0,706
16,5;14654;1,507
17,4;14712;0,889
